Patch1,Patch2,Patch3,Patch4,Patch5,Patch6,Patch7,Patch8,Patch9,Patch10,Patch11,Patch12,Patch13,Patch14,Patch15,Patch16,Patch17,Patch18,Patch19,Patch20,Patch21,Patch22,Patch23,Patch24
5.308563999999999616e+00,1.926932000000000045e+01,2.361020999999999859e+01,5.401956000000000202e+00,2.743706999999999852e+01,2.133035999999999888e+01,4.010006999999999877e+00,2.260137999999999892e+01,1.268457000000000079e+01,1.472367000000000026e+01,6.053112999999999744e+00,6.257023000000000224e+00,9.652896999999999395e+00,4.702377000000000251e+00,4.031259999999999621e+00,4.538263999999999854e+00,2.407396999999999920e+01,1.601907999999999888e+01,3.324757999999999925e+01,2.986625000000000085e+01,2.329626999999999981e+01,1.514874000000000009e+01,7.702258999999999745e+00,2.888685999999999865e+00
5.350029000000000146e+00,1.997197999999999851e+01,2.485135999999999967e+01,5.479820000000000135e+00,2.939961999999999875e+01,2.247785000000000011e+01,3.967518000000000100e+00,2.362284000000000006e+01,1.289494000000000007e+01,1.519755999999999929e+01,6.192172000000000232e+00,6.332886000000000237e+00,1.005880999999999936e+01,4.563036000000000314e+00,4.021918999999999578e+00,4.334403000000000006e+00,2.557441999999999993e+01,1.681929999999999836e+01,3.628412000000000148e+01,3.252917000000000058e+01,2.456478999999999857e+01,1.565160999999999980e+01,7.811028000000000304e+00,2.900596000000000174e+00
5.348851999999999940e+00,2.040415000000000134e+01,2.588337999999999894e+01,5.460276999999999603e+00,3.097448999999999941e+01,2.334074000000000026e+01,3.947340000000000071e+00,2.436662000000000106e+01,1.285969000000000051e+01,1.558965000000000067e+01,6.353862999999999595e+00,6.350219000000000058e+00,1.033346000000000053e+01,4.599946000000000090e+00,3.949616999999999933e+00,4.508109000000000144e+00,2.656924000000000063e+01,1.733528000000000091e+01,3.888119999999999976e+01,3.444024000000000285e+01,2.549052000000000007e+01,1.596209999999999951e+01,7.836187999999999931e+00,2.894953000000000110e+00
5.341046000000000404e+00,2.070374999999999943e+01,2.653369999999999962e+01,5.452943000000000318e+00,3.216834000000000060e+01,2.409667999999999921e+01,3.918301000000000034e+00,2.491235999999999962e+01,1.290972000000000008e+01,1.577148000000000039e+01,6.216196000000000055e+00,6.229028999999999705e+00,1.058444000000000074e+01,4.512375999999999721e+00,3.881991999999999887e+00,4.564178000000000068e+00,2.741698999999999842e+01,1.768955000000000055e+01,4.041841999999999757e+01,3.595002000000000209e+01,2.610613999999999990e+01,1.617620000000000147e+01,7.838949000000000389e+00,2.900030999999999803e+00
5.351289999999999658e+00,2.104988000000000170e+01,2.720014000000000109e+01,5.489438999999999957e+00,3.329972999999999672e+01,2.468515000000000015e+01,3.908002000000000198e+00,2.545608999999999966e+01,1.297793000000000063e+01,1.603445999999999927e+01,6.210510000000000197e+00,6.303777000000000186e+00,1.079045999999999950e+01,4.518352000000000146e+00,3.835894999999999833e+00,4.549350999999999701e+00,2.818080000000000140e+01,1.808148999999999873e+01,4.263888000000000034e+01,3.714634000000000214e+01,2.674512999999999963e+01,1.635820000000000007e+01,7.885819999999999830e+00,2.896548999999999818e+00
5.356786999999999743e+00,2.127668999999999855e+01,2.765245000000000175e+01,5.501464000000000354e+00,3.410887000000000313e+01,2.510151000000000110e+01,3.847252000000000116e+00,2.581571999999999889e+01,1.293369000000000035e+01,1.617889999999999873e+01,6.244788999999999923e+00,6.310158999999999629e+00,1.096169000000000082e+01,4.504813000000000400e+00,3.830030999999999963e+00,4.507645000000000124e+00,2.863901999999999859e+01,1.832151999999999958e+01,4.412319000000000102e+01,3.799895000000000067e+01,2.700168999999999997e+01,1.646712000000000131e+01,7.889370000000000438e+00,2.898070999999999842e+00
5.385041000000000189e+00,2.143177999999999983e+01,2.805277999999999849e+01,5.527947000000000166e+00,3.483252999999999844e+01,2.550021999999999878e+01,3.880037999999999876e+00,2.603668000000000049e+01,1.292010999999999932e+01,1.631506999999999863e+01,6.195446999999999704e+00,6.329381999999999842e+00,1.113327999999999918e+01,4.482836999999999961e+00,3.822223000000000148e+00,4.412062999999999846e+00,2.906989000000000090e+01,1.852653000000000105e+01,4.523850999999999800e+01,3.870378000000000185e+01,2.728577999999999903e+01,1.648868999999999829e+01,7.888030999999999793e+00,2.911230000000000206e+00
5.375896000000000008e+00,2.150807000000000002e+01,2.828828999999999994e+01,5.557601000000000013e+00,3.522476999999999947e+01,2.580302000000000007e+01,3.858782999999999852e+00,2.623142999999999958e+01,1.292200000000000060e+01,1.640240999999999971e+01,6.271452000000000027e+00,6.377272999999999747e+00,1.123399000000000036e+01,4.474897000000000347e+00,3.806753000000000053e+00,4.454164999999999708e+00,2.925076999999999927e+01,1.866642999999999830e+01,4.611937000000000353e+01,3.924692999999999898e+01,2.750064000000000064e+01,1.655032999999999888e+01,7.889503999999999628e+00,2.909835999999999867e+00
5.379255999999999815e+00,2.157995999999999981e+01,2.847350000000000136e+01,5.569409000000000276e+00,3.559373000000000076e+01,2.597038999999999831e+01,3.858626999999999807e+00,2.649279999999999902e+01,1.291685000000000016e+01,1.651214999999999833e+01,6.247632000000000296e+00,6.367407000000000039e+00,1.143487000000000009e+01,4.494216999999999906e+00,3.792056999999999789e+00,4.458436999999999983e+00,2.947096000000000160e+01,1.883559999999999945e+01,4.735681000000000296e+01,3.996656999999999726e+01,2.776432000000000144e+01,1.662887999999999877e+01,7.901654999999999873e+00,2.909809000000000090e+00
5.369388999999999967e+00,2.159739000000000075e+01,2.868596000000000146e+01,5.550111000000000239e+00,3.594037999999999755e+01,2.609361000000000175e+01,3.866589999999999971e+00,2.683195999999999870e+01,1.298185999999999929e+01,1.666395999999999944e+01,6.283244999999999969e+00,6.367808000000000135e+00,1.171486999999999945e+01,4.500955000000000261e+00,3.779611000000000054e+00,4.482979000000000269e+00,2.973048000000000002e+01,1.906341000000000108e+01,4.905290000000000106e+01,4.097276999999999703e+01,2.808755000000000024e+01,1.672928999999999888e+01,7.917575000000000252e+00,2.897308999999999912e+00
5.349592999999999599e+00,2.173403000000000063e+01,2.906599999999999895e+01,5.570889000000000202e+00,3.657571000000000083e+01,2.644659000000000049e+01,3.895017999999999869e+00,2.748425999999999902e+01,1.304283999999999999e+01,1.700462999999999880e+01,6.237376000000000253e+00,6.322650999999999577e+00,1.227993999999999986e+01,4.551912999999999876e+00,3.796994000000000202e+00,4.489658000000000371e+00,3.024773000000000067e+01,1.952899000000000029e+01,5.228425000000000011e+01,4.272149000000000285e+01,2.886501000000000161e+01,1.692888999999999911e+01,7.958606999999999765e+00,2.875980000000000203e+00
5.328121000000000329e+00,2.192025999999999897e+01,2.951596999999999937e+01,5.534169000000000338e+00,3.737624999999999886e+01,2.676175999999999888e+01,3.969306000000000001e+00,2.821629000000000076e+01,1.313704000000000072e+01,1.734149999999999991e+01,6.201840999999999937e+00,6.306236000000000175e+00,1.299469999999999992e+01,4.563215999999999717e+00,3.827420000000000044e+00,4.523362999999999801e+00,3.077054000000000045e+01,2.001279999999999859e+01,5.615581999999999852e+01,4.469763999999999982e+01,2.957631999999999906e+01,1.714948000000000050e+01,7.998810999999999893e+00,2.849686000000000163e+00
5.326247000000000398e+00,2.182613999999999876e+01,2.971014999999999873e+01,5.495282999999999696e+00,3.776089000000000340e+01,2.685738999999999876e+01,3.924176000000000109e+00,2.850606000000000151e+01,1.305944000000000038e+01,1.748648000000000025e+01,6.289519000000000304e+00,6.252932999999999630e+00,1.339040999999999926e+01,4.582488999999999812e+00,3.833175000000000221e+00,4.427114999999999689e+00,3.092288999999999888e+01,2.023026000000000124e+01,5.843233000000000033e+01,4.553560000000000230e+01,2.977683999999999997e+01,1.715364999999999895e+01,7.988521000000000427e+00,2.831386999999999876e+00
5.318956000000000017e+00,2.195478999999999914e+01,2.990975999999999857e+01,5.531018000000000434e+00,3.817866000000000071e+01,2.704121999999999915e+01,3.919849999999999834e+00,2.893962000000000145e+01,1.308108999999999966e+01,1.770400000000000063e+01,6.299244999999999983e+00,6.281393999999999700e+00,1.383700999999999937e+01,4.614517000000000202e+00,3.832362999999999964e+00,4.526336999999999833e+00,3.114827999999999975e+01,2.047312000000000154e+01,6.027503999999999706e+01,4.632014000000000209e+01,2.997809000000000168e+01,1.720046999999999926e+01,7.983896999999999800e+00,2.829219999999999846e+00
5.307873999999999981e+00,2.192126000000000019e+01,3.002892999999999901e+01,5.522249000000000407e+00,3.848906999999999812e+01,2.727289000000000030e+01,3.995490999999999904e+00,2.914347000000000065e+01,1.301748000000000083e+01,1.781547000000000125e+01,6.248480999999999952e+00,6.252735000000000376e+00,1.426239999999999952e+01,4.592505000000000059e+00,3.793422000000000072e+00,4.520261999999999780e+00,3.125046000000000035e+01,2.064868999999999843e+01,6.212048000000000059e+01,4.695165000000000077e+01,3.012859999999999872e+01,1.723022999999999882e+01,7.982624999999999638e+00,2.813388999999999918e+00
5.288586999999999705e+00,2.195476000000000028e+01,3.012537999999999982e+01,5.534142000000000117e+00,3.876467000000000240e+01,2.745614000000000132e+01,3.986508999999999858e+00,2.940936999999999912e+01,1.305574999999999974e+01,1.793852000000000046e+01,6.255311999999999983e+00,6.192594999999999850e+00,1.463798000000000066e+01,4.661196000000000339e+00,3.763901000000000163e+00,4.499680999999999820e+00,3.136082000000000036e+01,2.078954999999999842e+01,6.362004999999999910e+01,4.749958999999999776e+01,3.024756000000000000e+01,1.727002999999999844e+01,7.975674999999999848e+00,2.807062000000000168e+00
5.291897999999999769e+00,2.187835000000000107e+01,3.018485000000000085e+01,5.542234999999999800e+00,3.903312999999999988e+01,2.765522999999999954e+01,3.897990000000000066e+00,2.965792000000000073e+01,1.301809000000000083e+01,1.802568000000000126e+01,6.199048000000000336e+00,6.257992999999999917e+00,1.502134999999999998e+01,4.596549999999999692e+00,3.752412000000000081e+00,4.530753999999999948e+00,3.146193999999999846e+01,2.088956999999999908e+01,6.485808000000000106e+01,4.779292999999999836e+01,3.034527999999999892e+01,1.726867000000000019e+01,7.963680000000000092e+00,2.808438999999999908e+00
5.285311000000000092e+00,2.186905000000000143e+01,3.022360000000000113e+01,5.564256999999999564e+00,3.923400000000000176e+01,2.780606999999999829e+01,3.949662000000000006e+00,2.989539999999999864e+01,1.298621999999999943e+01,1.809303999999999846e+01,6.250554000000000165e+00,6.259824000000000055e+00,1.539406999999999925e+01,4.569957999999999743e+00,3.767364999999999853e+00,4.501951000000000036e+00,3.153419999999999845e+01,2.101782000000000039e+01,6.598184999999999434e+01,4.812707999999999942e+01,3.041011999999999915e+01,1.727391000000000076e+01,7.983037000000000383e+00,2.803298999999999985e+00
5.267288999999999888e+00,2.183467999999999876e+01,3.020761999999999858e+01,5.567801000000000222e+00,3.937187999999999732e+01,2.790512999999999977e+01,3.938235999999999848e+00,3.008558000000000021e+01,1.293732999999999933e+01,1.814520999999999873e+01,6.185221000000000302e+00,6.260886000000000173e+00,1.570241000000000042e+01,4.563048000000000215e+00,3.767351000000000116e+00,4.469238999999999962e+00,3.153600000000000136e+01,2.109711000000000070e+01,6.681252999999999531e+01,4.834852999999999668e+01,3.044307999999999836e+01,1.728937000000000168e+01,7.965981000000000201e+00,2.801305000000000156e+00
5.264724000000000181e+00,2.182612999999999914e+01,3.022766999999999982e+01,5.553091000000000221e+00,3.951230999999999938e+01,2.802250000000000085e+01,3.898568000000000033e+00,3.026472000000000051e+01,1.292407000000000039e+01,1.820131999999999906e+01,6.251695999999999920e+00,6.246869000000000227e+00,1.601363999999999876e+01,4.608264000000000138e+00,3.760256000000000043e+00,4.513403000000000276e+00,3.158624999999999972e+01,2.116954000000000136e+01,6.767991000000000668e+01,4.852293000000000234e+01,3.049175999999999931e+01,1.731037999999999855e+01,7.979942000000000313e+00,2.796574999999999811e+00
5.266206999999999638e+00,2.179768999999999934e+01,3.026315999999999917e+01,5.567328999999999972e+00,3.966884000000000299e+01,2.813674999999999926e+01,3.916939000000000171e+00,3.049286999999999992e+01,1.288879000000000019e+01,1.820861999999999981e+01,6.224715999999999916e+00,6.286591999999999736e+00,1.628677000000000064e+01,4.610853999999999786e+00,3.765296999999999894e+00,4.544658000000000087e+00,3.169380999999999915e+01,2.125440000000000040e+01,6.843325000000000102e+01,4.865829000000000093e+01,3.052844999999999942e+01,1.735632999999999981e+01,7.993077999999999683e+00,2.795989000000000058e+00
5.257893000000000150e+00,2.179461999999999833e+01,3.029570000000000007e+01,5.578184000000000253e+00,3.983400000000000318e+01,2.829710999999999999e+01,3.922130999999999812e+00,3.073596999999999824e+01,1.286392000000000024e+01,1.822431999999999874e+01,6.214425999999999561e+00,6.232895000000000074e+00,1.659460999999999942e+01,4.622889999999999944e+00,3.732175999999999938e+00,4.558558999999999806e+00,3.168495000000000061e+01,2.141482999999999848e+01,6.916882999999999981e+01,4.884774999999999778e+01,3.061351000000000155e+01,1.737402000000000157e+01,7.999202000000000368e+00,2.796838999999999853e+00
5.249454000000000065e+00,2.174523999999999901e+01,3.032562000000000069e+01,5.604213999999999807e+00,3.988662999999999670e+01,2.834505000000000052e+01,3.937241999999999909e+00,3.093157000000000068e+01,1.283436000000000021e+01,1.819256999999999991e+01,6.265329999999999622e+00,6.196646999999999572e+00,1.688795999999999964e+01,4.620567999999999564e+00,3.726304999999999978e+00,4.493945000000000078e+00,3.169396000000000058e+01,2.158011000000000124e+01,6.966279000000000110e+01,4.892907999999999902e+01,3.059406999999999854e+01,1.735921000000000092e+01,8.001467999999999137e+00,2.797339000000000020e+00
5.246170000000000222e+00,2.171820999999999913e+01,3.038474000000000075e+01,5.624139000000000443e+00,4.001924999999999955e+01,2.848935000000000173e+01,3.926754999999999995e+00,3.121120000000000161e+01,1.283845999999999954e+01,1.815386000000000166e+01,6.288799000000000028e+00,6.248821000000000403e+00,1.718729000000000084e+01,4.652975999999999779e+00,3.728041000000000160e+00,4.547190999999999761e+00,3.169707999999999970e+01,2.179416000000000153e+01,7.017566999999999666e+01,4.905089000000000254e+01,3.061918999999999969e+01,1.739248999999999867e+01,8.001395999999999731e+00,2.788542000000000076e+00
5.251260000000000261e+00,2.172140999999999877e+01,3.051863000000000170e+01,5.646486000000000338e+00,4.010652999999999935e+01,2.861599999999999966e+01,3.926069000000000031e+00,3.147963999999999984e+01,1.280579999999999963e+01,1.808786999999999878e+01,6.306542999999999566e+00,6.234767999999999866e+00,1.753397000000000006e+01,4.651900999999999620e+00,3.706589000000000134e+00,4.545506999999999742e+00,3.169380999999999915e+01,2.209898000000000096e+01,7.069901000000000124e+01,4.919962000000000302e+01,3.065895000000000081e+01,1.742042000000000002e+01,8.017844000000000193e+00,2.794741000000000142e+00
5.234738000000000113e+00,2.166778000000000048e+01,3.055385000000000062e+01,5.652787000000000006e+00,4.013629999999999853e+01,2.874734000000000123e+01,3.900250000000000217e+00,3.164911999999999992e+01,1.279499999999999993e+01,1.798129000000000133e+01,6.399302999999999741e+00,6.188813999999999815e+00,1.782578000000000173e+01,4.691387999999999892e+00,3.720972999999999864e+00,4.595945999999999643e+00,3.157700000000000173e+01,2.231907999999999959e+01,7.104353000000000407e+01,4.924278000000000333e+01,3.069538000000000011e+01,1.743094999999999928e+01,8.018425999999999831e+00,2.788588999999999984e+00
5.238377999999999979e+00,2.166837999999999909e+01,3.064951999999999899e+01,5.674724999999999575e+00,4.026418999999999926e+01,2.892402999999999835e+01,3.912535999999999792e+00,3.189445999999999870e+01,1.280328000000000088e+01,1.791631999999999891e+01,6.308136000000000188e+00,6.218943000000000332e+00,1.813647999999999882e+01,4.670175999999999661e+00,3.716578000000000159e+00,4.614251000000000325e+00,3.155582000000000065e+01,2.260738999999999876e+01,7.133459000000000572e+01,4.929265000000000185e+01,3.074060000000000059e+01,1.747644000000000020e+01,8.038161000000000556e+00,2.791882000000000197e+00
5.228793999999999720e+00,2.165305000000000035e+01,3.073004999999999853e+01,5.711259000000000086e+00,4.036762999999999835e+01,2.904137000000000057e+01,3.914696999999999871e+00,3.212758999999999787e+01,1.278810999999999964e+01,1.782547999999999888e+01,6.351795000000000080e+00,6.219580999999999804e+00,1.847035999999999945e+01,4.696137000000000228e+00,3.720775999999999861e+00,4.631062000000000012e+00,3.146880000000000166e+01,2.284112999999999971e+01,7.162176999999999794e+01,4.939596999999999838e+01,3.079001999999999839e+01,1.752173000000000158e+01,8.055144999999999555e+00,2.789902999999999800e+00
5.223278999999999783e+00,2.163398000000000110e+01,3.078541999999999845e+01,5.724923999999999680e+00,4.043233000000000033e+01,2.916311999999999927e+01,3.917086999999999986e+00,3.236683000000000021e+01,1.277692000000000050e+01,1.770261999999999958e+01,6.370565000000000033e+00,6.213041999999999732e+00,1.880388999999999911e+01,4.710557999999999801e+00,3.707589000000000024e+00,4.651659999999999684e+00,3.141507999999999967e+01,2.304496999999999929e+01,7.178351000000000681e+01,4.952626000000000062e+01,3.082716999999999885e+01,1.754286000000000101e+01,8.061883999999999162e+00,2.789346000000000103e+00
